category,course_id,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major
思想政治理论,3322100010,思想道德修养和法律基础,3,48,48,0,1,必修,考试,,电子商务及法律
思想政治理论,3322100090,习近平新时代中国特色社会主义思想概论,2,32,28,4,1,必修,考试,,电子商务及法律
思想政治理论,3322100060,中国近现代史纲要,2.5,40,40,0,2,必修,考试,,电子商务及法律
思想政治理论,3322100070,马克思主义基本原理概论,2.5,40,40,0,3,必修,考试,,电子商务及法律
思想政治理论,3322100080,毛泽东思想和中国特色社会主义理论体系概论,4,64,64,0,4,必修,考试,,电子商务及法律
思想政治理论,1052100010,形势与政策1,0.4,6.4,6.4,0,1,必修,考查,,电子商务及法律
思想政治理论,1052100020,形势与政策2,0.4,6.4,6.4,0,2,必修,考查,,电子商务及法律
思想政治理论,1052100030,形势与政策3,0.4,6.4,6.4,0,3,必修,考查,,电子商务及法律
思想政治理论,1052100040,形势与政策4,0.4,6.4,6.4,0,4,必修,考查,,电子商务及法律
思想政治理论,1052100050,形势与政策5,0.4,6.4,6.4,0,5,必修,考查,,电子商务及法律
体育、美育,3812110010,体育基础,1,32,8,24,1,必修,考查,,电子商务及法律
体育、美育,2122110002,军事理论,2,32,32,0,2,必修,考查,,电子商务及法律
体育、美育,2122120000,大学生心理健康,0.5,8,8,0,1,必修,考查,,电子商务及法律
体育、美育,2122100090,安全教育,0,12,12,0,1,必修,考查,,电子商务及法律
英语,3312110316,综合英语（上）,2,32,32,0,1,必修,考试,,电子商务及法律
英语,3312110326,综合英语（下）,2,32,32,0,2,必修,考试,,电子商务及法律
英语,3312110336,进阶听说（上）,2,32,32,0,1,必修,考查,,电子商务及法律
英语,3312110346,进阶听说（下）,2,32,32,0,2,必修,考查,,电子商务及法律
英语,3312111040,商务英语与国际交流,2,32,32,0,2,选修,考查,非全校公选课,电子商务及法律
英语,3312111130,英语中级读写,2,32,32,0,2,选修,考查,非全校公选课,电子商务及法律
英语,3312111140,视听电影,2,32,32,0,2,选修,考查,非全校公选课,电子商务及法律
数学与自然科学,3412110079,线性代数,3,48,48,0,1,必修,考试,,电子商务及法律
数学与自然科学,3412110019,高等数学A(上),5,80,80,0,1,必修,考试,,电子商务及法律
数学与自然科学,3412110029,高等数学A(下),5,80,80,0,2,必修,考试,,电子商务及法律
数学与自然科学,3412120039,大学物理C,4,64,64,0,2,必修,考试,,电子商务及法律
数学与自然科学,3412110129,工程数学,4,64,64,0,3,必修,考试,,电子商务及法律
数学与自然科学,3412110279,离散计算技术,4,64,64,0,3,必修,考试,,电子商务及法律
数学与自然科学,3412110109,概率论与数理统计,3,48,48,0,4,必修,考试,,电子商务及法律
计算机基础,3132100011,大学计算机,2,32,32,0,1,必修,考试,,电子商务及法律
计算机基础,3132100090,程序设计基础,3,48,32,16,2,必修,考试,,电子商务及法律
计算机基础,3512142011,Java高级语言程序设计,3,48,32,16,4,必修,考试,,电子商务及法律
计算机基础,3512156021,数据库,3.5,56,48,8,4,必修,考试,,电子商务及法律
学科基础,3112190100,电子系统基础,3,48,48,0,2,必修,考试,,电子商务及法律
学科基础,3512143742,信号与系统,3,48,48,0,3,必修,考试,,电子商务及法律
学科基础,3172150361,电子商务概论,2,32,32,0,3,必修,考试,,电子商务及法律
学科基础,3512142023,数字电路设计,3,48,40,8,4,必修,考试,,电子商务及法律
学科基础,3512150161,知识产权基础,2.5,40,40,0,6,必修,考试,,电子商务及法律
学科基础,3512163043,软件工程,3,48,36,12,6,必修,考试,,电子商务及法律
学科基础,3512140011,西方法律基础,1,16,16,0,4,指定选修,考查,西方法律基础/西方经济学/经济法最低选修4学分,电子商务及法律
学科基础,3212110021,西方经济学,3,48,48,0,2,选修,考查,西方法律基础/西方经济学/经济法最低选修4学分,电子商务及法律
学科基础,3212110040,经济法,3,48,48,0,5,选修,考查,西方法律基础/西方经济学/经济法最低选修4学分,电子商务及法律
专业基础,3512164021,企业管理,2.5,40,40,0,3,必修,考试,,电子商务及法律
专业基础,3512153021,电信系统,2.5,40,40,0,5,必修,考试,,电子商务及法律
专业基础,3512154131,互联网协议,3,48,44,4,5,必修,考试,,电子商务及法律
专业基础,3512150421,高级网络程序设计,3.5,56,40,16,5,必修,考试,,电子商务及法律
专业基础,3512156091,物流与供应链管理,2.5,40,40,0,6,必修,考试,,电子商务及法律
专业基础,3132100073,数据结构,3,48,32,16,4,选修,考查,数据结构/运筹学/信息网络法概论最低选修5学分,电子商务及法律
专业基础,3212152010,运筹学,3,48,48,0,5,选修,考查,数据结构/运筹学/信息网络法概论最低选修5学分,电子商务及法律
专业基础,3512165216,信息网络法概论,2,32,32,0,5,选修,考查,数据结构/运筹学/信息网络法概论最低选修5学分,电子商务及法律
专业课,3512156061,产品开发与营销,2.5,40,40,0,4,必修,考试,,电子商务及法律
专业课,3512150271,电子商务法,2.5,40,40,0,5,必修,考试,,电子商务及法律
专业课,3512165042,数据挖掘,3,48,48,0,5,必修,考试,,电子商务及法律
专业课,3512160071,网络安全法,2.5,40,40,0,6,必修,考试,,电子商务及法律
专业课,3512166101,信息系统管理,2.5,40,40,0,7,必修,考试,,电子商务及法律
专业课,3512171401,安全及认证,2.5,40,40,0,7,必修,考试,,电子商务及法律
专业课,3212153930,企业技术战略,2,32,32,0,7,必修,考试,,电子商务及法律
专业课,3212160270,互联网金融,2,32,32,0,5,选修,考查,,电子商务及法律
专业课,3132100189,互联网应用,3,48,32,16,6,选修,考查,,电子商务及法律
专业课,3112100430,移动互联网,2,32,32,0,6,选修,考查,,电子商务及法律
专业课,3132111060,人工智能原理,2,32,32,0,6,选修,考查,,电子商务及法律
专业课,3132114070,多媒体技术,2,32,32,0,7,选修,考查,,电子商务及法律
专业课,3132112080,服务科学与服务工程概论,2,32,32,0,7,选修,考查,,电子商务及法律
实践教学,3322100061,中国近现代史纲要（实践环节）,0.5,12,0,12,2,必修,考查,,电子商务及法律
实践教学,3322100071,马克思主义基本原理概论（实践环节）,0.5,12,0,12,3,必修,考查,,电子商务及法律
实践教学,3322100081,毛泽东思想和中国特色社会主义理论体系概论（实践环节）,1,24,0,24,4,必修,考查,,电子商务及法律
实践教学,2122110003,军训,2,48,0,48,1,必修,考查,,电子商务及法律
实践教学,3412130049,物理实验C,1.5,36,4,32,2,必修,考查,,电子商务及法律
实践教学,3152100601,计算机实习,2,48,0,48,3,必修,考查,,电子商务及法律
实践教学,3312100294,学术交流技能1,1,24,16,8,3,必修,考查,,电子商务及法律
实践教学,3312100295,学术交流技能2,2,48,32,16,4,必修,考查,,电子商务及法律
实践教学,3132102560,Design & Build实训2,2,48,0,48,5,必修,考查,,电子商务及法律
实践教学,3512190005,电子商务及法律专业实习,2,48,0,48,7,必修,考查,,电子商务及法律
实践教学,3512130011,个人发展计划1,0.4,10,5,5,2,必修,考查,,电子商务及法律
实践教学,3512140013,个人发展计划2,0.3,7,3,4,4,必修,考查,,电子商务及法律
实践教学,3512150011,个人发展计划3,0.3,7,3,4,6,必修,考查,,电子商务及法律
实践教学,3512165214,毕业设计,10,384,0,384,8,必修,考查,,电子商务及法律
学院特色创新必修5学分,3512191022,计算及设计思维,2,48,24,24,2,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191022,计算及设计思维,2,48,24,24,3,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512156081,科学思考与艺术实践,2,48,24,24,5,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191070,科研素养与创新能力,2,48,24,24,3,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191070,科研素养与创新能力,2,48,24,24,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191080,Web创新实践,2,48,24,24,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,5,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,6,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191052,图像识别应用实训,2,48,24,24,5,选修,考查,,电子商务及法律
